Time,Pressure,single,double,triple,move
2000/1/1,2228,,,,
2000/1/2,4246,2228,,,3849.666667
2000/1/3,5075,2833.4,2228,,4886.333333
2000/1/4,5338,3505.88,2409.62,2228,5355.666667
2000/1/5,5654,4055.516,2738.498,2282.486,5572.333333
2000/1/6,5725,4535.0612,3133.6034,2419.2896,5705
2000/1/7,5736,4892.04284,3554.04074,2633.58374,5712.333333
2000/1/8,5676,5145.229988,3955.44137,2909.72084,5642
2000/1/9,5514,5304.460992,4312.377955,3223.436999,6038.666667
2000/1/10,6926,5367.322694,4610.002866,3550.119286,6748.666667
2000/1/11,7806,5834.925886,4837.198815,3868.08436,7738.666667
2000/1/12,8484,6426.24812,5136.516936,4158.818696,8527
2000/1/13,9291,7043.573684,5523.436291,4452.128168,9163.666667
2000/1/14,9716,7717.801579,5979.477509,4773.520605,9729.333333
2000/1/15,10181,8317.261105,6500.97473,5135.307676,10156.33333
2000/1/16,10572,8876.382774,7045.860643,5545.007792,10538
2000/1/17,10861,9385.067942,7595.017282,5995.263647,10955.33333
2000/1/18,11433,9827.847559,8132.03248,6475.189738,10752.66667
2000/1/19,9964,10309.39329,8640.777004,6972.24256,11097.33333
2000/1/20,11895,10205.7753,9141.36189,7472.802893,11346
2000/1/21,12179,10712.54271,9460.685914,7973.370592,12253.66667
2000/1/22,12687,11152.4799,9836.242954,8419.565189,12687
2000/1/23,13195,11612.83593,10231.11404,8844.568518,13108.66667
2000/1/24,13444,12087.48515,10645.6306,9260.532174,13440.33333
2000/1/25,13682,12494.43961,11078.18697,9676.061703,13728
2000/1/26,14058,12850.70772,11503.06276,10096.69928,14032.66667
2000/1/27,14358,13212.89541,11907.35625,10518.60833,14310.66667
2000/1/28,14516,13556.42678,12299.018,10935.2327,13961.66667
2000/1/29,13011,13844.29875,12676.24063,11344.36829,14051
2000/1/30,14626,13594.30912,13026.65807,11743.92999,14113.33333
2000/1/31,14703,13903.81639,13196.95338,12128.74842,14687
2000/2/1,14732,14143.57147,13409.01229,12449.20991,14745.33333
2000/2/2,14801,14320.10003,13629.38004,12737.15062,14808.66667
2000/2/3,14893,14464.37002,13836.59604,13004.81945,14904
2000/2/4,15018,14592.95901,14024.92823,13254.35242,14979.33333
2000/2/5,15027,14720.47131,14195.33747,13485.52517,15006.66667
2000/2/6,14975,14812.42992,14352.87762,13698.46886,15029.66667
2000/2/7,15087,14861.20094,14490.74331,13894.79149,14521.66667
2000/2/8,13503,14928.94066,14601.8806,14073.57703,14559
2000/2/9,15087,14501.15846,14699.99862,14232.0681,14569.66667
2000/2/10,15119,14676.91092,14640.34657,14372.44726,15105.33333
2000/2/11,15110,14809.53765,14651.31588,14452.81705,15115.66667
2000/2/12,15118,14899.67635,14698.78241,14512.3667,15158
2000/2/13,15246,14965.17345,14759.05059,14568.29141,15236.33333
2000/2/14,15345,15049.42141,14820.88745,14625.51917,15353.33333
2000/2/15,15469,15138.09499,14889.44764,14684.12965,15485.66667
2000/2/16,15643,15237.36649,14964.04184,14745.72505,15611.33333
2000/2/17,15722,15359.05654,15046.03924,14811.22008,15129
2000/2/18,14022,15467.93958,15139.94443,14881.66583,15279.66667
2000/2/19,16095,15034.15771,15238.34298,14959.14941,15437.33333
2000/2/20,16195,15352.41039,15177.08739,15042.90748,16146
2000/2/21,16148,15605.18728,15229.68429,15083.16145,16138.66667
2000/2/22,16073,15768.03109,15342.33519,15127.11831,16129
2000/2/23,16166,15859.52177,15470.04396,15191.68337,16160
2000/2/24,16241,15951.46524,15586.8873,15275.19155,16245
2000/2/25,16328,16038.32567,15696.26068,15368.70027,16304.66667
2000/2/26,16345,16125.22797,15798.88018,15466.9684,16363.33333
2000/2/27,16417,16191.15958,15896.78451,15566.54193,15801.66667
2000/2/28,14643,16258.9117,15985.09703,15665.61471,15820.33333
2000/2/29,16401,15774.13819,16067.24143,15761.4594,15827.33333
2000/3/1,16438,15962.19673,15979.31046,15853.19401,16315
2000/3/2,16106,16104.93771,15974.17634,15891.02895,15969
2000/3/3,15363,16105.2564,16013.40475,15915.97317,15379
2000/3/4,14668,15882.57948,16040.96025,15945.20264,14468.33333
2000/3/5,13374,15518.20564,15993.44602,15973.92992,13459.33333
2000/3/6,12336,14874.94395,15850.8739,15979.78475,12723.33333
2000/3/7,12460,14113.26076,15558.09492,15941.1115,12452.33333
2000/3/8,12561,13617.28253,15124.64467,15826.20652,11876
2000/3/9,10607,13300.39777,14672.43603,15615.73797,12103.33333
2000/3/10,13142,12492.37844,14260.82455,15332.74739,12338.33333
2000/3/11,13266,12687.26491,13730.29072,15011.17054,13291.33333
2000/3/12,13466,12860.88544,13417.38298,14626.90659,13436.66667
2000/3/13,13578,13042.41981,13250.43371,14264.04951,13551.33333
2000/3/14,13610,13203.09386,13188.02954,13959.96477,14626
2000/3/15,16690,13325.1657,13192.54884,13728.3842,16918
2000/3/16,20454,14334.61599,13232.3339,13567.63359,19076.33333
2000/3/17,20085,16170.4312,13563.01853,13467.04368,19761
2000/3/18,18744,17344.80184,14345.24233,13495.83614,18479
2000/3/19,16608,17764.56129,15245.11018,13750.65799,17979
2000/3/20,18585,17417.5929,16000.94551,14198.99365,18063
2000/3/21,18996,17767.81503,16425.93973,14739.57921,18678.66667
2000/3/22,18455,18136.27052,16828.50232,15245.48736,18136
2000/3/23,16957,18231.88936,17220.83278,15720.39185,17291.33333
2000/3/24,16462,17849.42256,17524.14975,16170.52413,16277.66667
2000/3/25,15414,17433.19579,17621.7316,16576.61182,15591.33333
2000/3/26,14898,16827.43705,17565.17085,16890.14775,14923.33333
2000/3/27,14458,16248.60594,17343.85071,17092.65468,14382.66667
2000/3/28,13792,15711.42416,17015.27728,17168.01349,13469.66667
2000/3/29,12159,15135.59691,16624.12134,17122.19263,12929.66667
2000/3/30,12838,14242.61784,16177.56401,16972.77124,12682
2000/3/31,13049,13821.23249,15597.08016,16734.20907,13053.66667
2000/4/1,13274,13589.56274,15064.32586,16393.0704,13266.66667
2000/4/2,13477,13494.89392,14621.89692,15994.44704,13469
2000/4/3,13656,13489.52574,14283.79602,15582.682,13636
2000/4/4,13775,13539.46802,14045.51494,15193.01621,13793.66667
2000/4/5,13950,13610.12761,13893.70086,14848.76583,13907.66667
2000/4/6,13998,13712.08933,13808.62889,14562.24634,14013.66667
2000/4/7,14093,13797.86253,13779.66702,14336.1611,13656.66667
2000/4/8,12879,13886.40377,13785.12567,14169.21288,13703.33333
2000/4/9,14138,13584.18264,13815.5091,14053.98672,13727
2000/4/10,14164,13750.32785,13746.11116,13982.44343,14141.33333
2000/4/11,14122,13874.42949,13747.37617,13911.54375,14116
2000/4/12,14062,13948.70065,13785.49217,13862.29348,14075
2000/4/13,14041,13982.69045,13834.45471,13839.25308,14047
2000/4/14,14038,14000.18332,13878.92543,13837.81357,14020
2000/4/15,13981,14011.52832,13915.3028,13850.14713,13993.33333
2000/4/16,13961,14002.36982,13944.17045,13869.69383,13988.66667
2000/4/17,14024,13989.95888,13961.63027,13892.03682,13626.66667
2000/4/18,12895,14000.17121,13970.12885,13912.91485,13727.33333
2000/4/19,14263,13668.61985,13979.14156,13930.07905,13780
2000/4/20,14182,13846.93389,13885.98505,13944.7978,14243.33333
2000/4/21,14285,13947.45373,13874.2697,13927.15398,14288.33333
2000/4/22,14398,14048.71761,13896.22491,13911.28869,14346
2000/4/23,14355,14153.50233,13941.97272,13906.76956,14383
2000/4/24,14396,14213.95163,14005.4316,13917.33051,14413
2000/4/25,14488,14268.56614,14067.98761,13943.76083,14445
2000/4/26,14451,14334.3963,14128.16117,13981.02887,14529
2000/4/27,14648,14369.37741,14190.03171,14025.16856,14125
