Time,Pressure,single,double,triple,move
2000/1/1,411,,,,
2000/1/2,3105,411,,,2525.333333
2000/1/3,4060,1219.2,411,,4007.666667
2000/1/4,4858,2071.44,653.46,411,4937.666667
2000/1/5,5895,2907.408,1078.854,483.738,5753
2000/1/6,6506,3803.6856,1627.4202,662.2728,6450.333333
2000/1/7,6950,4614.37992,2280.29982,951.81702,6970
2000/1/8,7454,5315.065944,2980.52385,1350.36186,7442.666667
2000/1/9,7924,5956.746161,3680.886478,1839.410457,7836.333333
2000/1/10,8131,6546.922313,4363.644383,2391.853263,7931.666667
2000/1/11,7740,7022.145619,5018.627762,2983.390599,8200.666667
2000/1/12,8731,7237.501933,5619.683119,3593.961748,8528.333333
2000/1/13,9114,7685.551353,6105.028763,4201.678159,9124.666667
2000/1/14,9529,8114.085947,6579.18554,4772.68334,9526
2000/1/15,9935,8538.560163,7039.655662,5314.634,9900
2000/1/16,10236,8957.492114,7489.327013,5832.140499,10289
2000/1/17,10696,9341.04448,7929.776543,6329.296453,10679.33333
2000/1/18,11106,9747.531136,8353.156924,6809.44048,11084.33333
2000/1/19,11451,10155.0718,8771.469188,7272.555413,11525
2000/1/20,12018,10543.85026,9186.54997,7722.229546,11714.66667
2000/1/21,11675,10986.09518,9593.740056,8161.525673,12320
2000/1/22,13267,11192.76663,10011.44659,8591.189988,12932.66667
2000/1/23,13856,11815.03664,10365.8426,9017.266969,13852
2000/1/24,14433,12427.32565,10800.60081,9421.839659,14388.33333
2000/1/25,14876,13029.02795,11288.61826,9835.468006,14926.66667
2000/1/26,15471,13583.11957,11810.74117,10271.41308,15459.66667
2000/1/27,16032,14149.4837,12342.45469,10733.21151,15967.33333
2000/1/28,16399,14714.23859,12884.56339,11215.98446,16379.66667
2000/1/29,16708,15219.66701,13433.46595,11716.55814,16732.66667
2000/1/30,17091,15666.16691,13969.32627,12231.63048,16632
2000/1/31,16097,16093.61684,14478.37846,12752.93922,16911.33333
2000/2/1,17546,16094.63178,14962.94997,13270.57099,17091
2000/2/2,17630,16530.04225,15302.45452,13778.28469,17648.66667
2000/2/3,17770,16860.02957,15670.73084,14235.53564,17729.66667
2000/2/4,17789,17133.0207,16027.52046,14666.0942,17787
2000/2/5,17802,17329.81449,16359.17053,15074.52207,17809
2000/2/6,17836,17471.47014,16650.36372,15459.91661,17845.66667
2000/2/7,17899,17580.8291,16896.69565,15817.05074,17932
2000/2/8,18061,17676.28037,17101.93568,16140.94421,18011
2000/2/9,18073,17791.69626,17274.23909,16429.24166,17729.66667
2000/2/10,17055,17876.08738,17429.47624,16682.74089,17811
2000/2/11,18305,17629.76117,17563.45958,16906.76149,17941.33333
2000/2/12,18464,17832.33282,17583.35006,17103.77092,18481
2000/2/13,18674,18021.83297,17658.04489,17247.64466,18763.33333
2000/2/14,19152,18217.48308,17767.18131,17370.76473,19110.33333
2000/2/15,19505,18497.83816,17902.27184,17489.6897,19550.66667
2000/2/16,19995,18799.98671,18080.94174,17613.46434,19878.66667
2000/2/17,20136,19158.4907,18296.65523,17753.70756,20279.33333
