Time,Pressure,single,double,triple,move
2000/1/1,110,,,,
2000/1/2,112,110,,,111
2000/1/3,111,110.6,110,,143.6666667
2000/1/4,208,110.72,110.18,110,634.3333333
2000/1/5,1584,139.904,110.342,110.054,1961
2000/1/6,4091,573.1328,119.2106,110.1404,3855
2000/1/7,5890,1628.49296,255.38726,112.86146,5630.666667
2000/1/8,6911,2906.945072,667.31897,155.6192,6999.333333
2000/1/9,8197,4108.16155,1339.206801,309.129131,8133.333333
2000/1/10,9292,5334.813085,2169.893226,618.1524319,9459.666667
2000/1/11,10890,6521.96916,3119.369183,1083.67467,10764.66667
2000/1/12,12112,7832.378412,4140.149176,1694.383024,12145
2000/1/13,13433,9116.264888,5247.817947,2428.11287,13512
2000/1/14,14991,10411.28542,6408.352029,3274.024393,14869
2000/1/15,16183,11785.1998,7609.232047,4214.322684,16030
2000/1/16,16916,13104.53986,8862.022372,5232.795493,16888
2000/1/17,17565,14247.9779,10134.77762,6321.563556,17524
2000/1/18,18091,15243.08453,11368.7377,7465.527775,18079.33333
2000/1/19,18582,16097.45917,12531.04175,8636.490753,17915.33333
2000/1/20,17073,16842.82142,13600.96698,9804.856052,18202
2000/1/21,18951,16911.87499,14573.52331,10943.68933,18332
2000/1/22,18972,17523.6125,15275.02881,12032.63952,18939
2000/1/23,18894,17958.12875,15949.60392,13005.35631,18936.33333
2000/1/24,18943,18238.89012,16552.16137,13888.63059,18887
2000/1/25,18824,18450.12309,17058.17999,14687.68983,18805.66667
2000/1/26,18650,18562.28616,17475.76292,15398.83688,18675.33333
2000/1/27,18552,18588.60031,17801.71989,16021.91469,18478
2000/1/28,18232,18577.62022,18037.78402,16555.85625,18244.66667
2000/1/29,17950,18473.93415,18199.73488,17000.43458,17531.66667
2000/1/30,16413,18316.75391,18281.99466,17360.22467,17344.33333
2000/1/31,17670,17745.62773,18292.42243,17636.75567,17260
2000/2/1,17697,17722.93941,18128.38402,17833.4557,17664
2000/2/2,17625,17715.15759,18006.75064,17921.9342,17683.33333
2000/2/3,17728,17688.11031,17919.27273,17947.37913,17810.66667
2000/2/4,18079,17700.07722,17849.924,17938.94721,18037.66667
2000/2/5,18306,17813.75405,17804.96997,17912.24025,18341.66667
2000/2/6,18640,17961.42784,17807.60519,17880.05916,18662.33333
2000/2/7,19041,18164.99949,17853.75199,17858.32297,19006.66667
2000/2/8,19339,18427.79964,17947.12624,17856.95168,18781.33333
2000/2/9,17964,18701.15975,18091.32826,17884.00404,19070.33333
2000/2/10,19908,18480.01182,18274.2777,17946.20131,19331.66667
2000/2/11,20123,18908.40828,18335.99794,18044.62423,20043
2000/2/12,20098,19272.78579,18507.72104,18132.03634,20144
2000/2/13,20211,19520.35006,18737.24047,18244.74175,19948.33333
2000/2/14,19536,19727.54504,18972.17334,18392.49137,19562.66667
2000/2/15,18941,19670.08153,19198.78485,18566.39596,18670
2000/2/16,17533,19451.35707,19340.17385,18756.11263,17589.33333
2000/2/17,16294,18875.84995,19373.52882,18931.331,16731.33333
2000/2/18,16367,18101.29496,19224.22516,19063.99034,16169
2000/2/19,15846,17581.00647,18887.3461,19112.06079,16524.33333
2000/2/20,17360,17060.50453,18495.44421,19044.64638,16934.33333
2000/2/21,17597,17150.35317,18064.96231,18879.88573,17544
2000/2/22,17675,17284.34722,17790.57957,18635.4087,17637.66667
2000/2/23,17641,17401.54305,17638.70986,18381.95996,17630
2000/2/24,17574,17473.38014,17567.55982,18158.98493,17530.66667
2000/2/25,17377,17503.5661,17539.30592,17981.5574,17383.33333
2000/2/26,17199,17465.59627,17528.58397,17848.88195,17190.66667
2000/2/27,16996,17385.61739,17509.68766,17752.79256,17528
2000/2/28,18389,17268.73217,17472.46658,17679.86109,17836
2000/2/29,18123,17604.81252,17411.34626,17617.64274,18417.66667
2000/3/1,18741,17760.26876,17469.38614,17555.75379,18268.33333
2000/3/2,17941,18054.48813,17556.65092,17529.84349,17954
2000/3/3,17180,18020.44169,17706.00209,17537.88572,16750.66667
2000/3/4,15131,17768.30919,17800.33397,17588.32063,15241.33333
2000/3/5,13413,16977.11643,17790.72653,17651.92463,13639
2000/3/6,12373,15907.8815,17546.6435,17693.5652,12726.66667
2000/3/7,12394,14847.41705,17055.0149,17649.48869,12690.33333
2000/3/8,13304,14111.39194,16392.73555,17471.14656,13066.33333
2000/3/9,13501,13869.17435,15708.33246,17147.62325,12972
2000/3/10,12111,13758.72205,15156.58503,16715.83602,13285.66667
2000/3/11,14245,13264.40543,14737.22614,16248.06072,13630.66667
2000/3/12,14536,13558.5838,14295.37993,15794.81035,14585.33333
2000/3/13,14975,13851.80866,14074.34109,15344.98122,14944.33333
2000/3/14,15322,14188.76606,14007.58136,14963.78918,15270.33333
2000/3/15,15514,14528.73624,14061.93677,14676.92683,15493.66667
2000/3/16,15645,14824.31537,14201.97661,14492.42982,15627.33333
2000/3/17,15723,15070.52076,14388.67824,14405.29386,15638.66667
2000/3/18,15548,15266.26453,14593.231,14400.30917,15564.33333
2000/3/19,15422,15350.78517,14795.14106,14458.18572,14785.33333
2000/3/20,13386,15372.14962,14961.83429,14559.27232,14470
2000/3/21,14602,14776.30473,15084.92889,14680.04091,14021.33333
2000/3/22,14076,14724.01331,14992.34164,14801.50731,14083
2000/3/23,13571,14529.60932,14911.84314,14858.75761,13578.66667
2000/3/24,13089,14242.02652,14797.173,14874.68327,13069.33333
2000/3/25,12548,13896.11857,14630.62906,14851.43019,12621.66667
2000/3/26,12228,13491.683,14410.27591,14785.18985,12239.66667
2000/3/27,11943,13112.5781,14134.69804,14672.71567,11892.66667
2000/3/28,11507,12761.70467,13828.06205,14511.31038,11564.66667
2000/3/29,11244,12385.29327,13508.15484,14306.33588,10491.33333
2000/3/30,8723,12042.90529,13171.29637,14066.88157,9742.333333
2000/3/31,9260,11046.9337,12832.77904,13798.20601,9097
2000/4/1,9308,10510.85359,12297.02544,13508.57792,9426.666667
2000/4/2,9712,10149.99751,11761.17389,13145.11217,9682.333333
2000/4/3,10027,10018.59826,11277.82097,12729.93069,10043
2000/4/4,10390,10021.11878,10900.05416,12294.29777,10386.66667
2000/4/5,10743,10131.78315,10636.37355,11876.02469,10720
2000/4/6,11027,10315.1482,10484.99643,11504.12935,11000.33333
2000/4/7,11231,10528.70374,10434.04196,11198.38947,11143.66667
2000/4/8,11173,10739.39262,10462.44049,10969.08522,10885.66667
2000/4/9,10253,10869.47483,10545.52613,10817.0918,10843.33333
2000/4/10,11104,10684.53238,10642.71074,10735.6221,10714
2000/4/11,10785,10810.37267,10655.25723,10707.74869,11476
2000/4/12,12539,10802.76087,10701.79186,10692.00126,12713.33333
2000/4/13,14816,11323.63261,10732.08257,10694.93844,14242
2000/4/14,15371,12371.34283,10909.54758,10706.08168,15119.66667
2000/4/15,15172,13271.23998,11348.08615,10767.12145,14879.33333
2000/4/16,14095,13841.46798,11925.0323,10941.41086,14230.33333
2000/4/17,13424,13917.52759,12499.96301,11236.49729,13570.66667
2000/4/18,13193,13769.46931,12925.23238,11615.53701,12403
2000/4/19,10592,13596.52852,13178.50346,12008.44562,11714
2000/4/20,11357,12695.16996,13303.91098,12359.46297,11082.66667
2000/4/21,11299,12293.71897,13121.28867,12642.79737,11719.66667
2000/4/22,12503,11995.30328,12873.01776,12786.34476,12320
2000/4/23,13158,12147.6123,12609.70342,12812.34666,12954.33333
2000/4/24,13202,12450.72861,12471.07608,12751.55369,13333.33333
2000/4/25,13640,12676.11003,12464.97184,12667.41041,13662
2000/4/26,14144,12965.27702,12528.3133,12606.67884,14073
2000/4/27,14435,13318.89391,12659.40241,12583.16917,14391.33333
2000/4/28,14595,13653.72574,12857.24986,12606.03915,14044.33333
2000/4/29,13103,13936.10802,13096.19263,12681.40236,13980.33333
2000/4/30,14243,13686.17561,13348.16724,12805.83944,13767.66667
2000/5/1,13957,13853.22293,13449.56975,12968.53778,13928
2000/5/2,13584,13884.35605,13570.66571,13112.84737,13467.33333
2000/5/3,12861,13794.24923,13664.77281,13250.19287,12902.33333
2000/5/4,12262,13514.27446,13703.61574,13374.56685,12161
2000/5/5,11360,13138.59213,13646.81336,13473.28152,11494.66667
2000/5/6,10862,12605.01449,13494.34699,13525.34107,10894.33333
2000/5/7,10461,12082.11014,13227.54724,13516.04284,10468
2000/5/8,10081,11595.7771,12883.91611,13429.49416,9818.333333
2000/5/9,8913,11141.34397,12497.47441,13265.82075,9757.333333
2000/5/10,10278,10472.84078,12090.63527,13035.31684,9909
2000/5/11,10536,10414.38854,11605.29693,12751.91237,10557.33333
2000/5/12,10858,10450.87198,11248.02441,12407.92774,10850
2000/5/13,11156,10573.01039,11008.87868,12059.95674,11087.66667
2000/5/14,11249,10747.90727,10878.11819,11744.63332,11275
2000/5/15,11420,10898.23509,10839.05492,11484.67878,11394.66667
2000/5/16,11515,11054.76456,10856.80897,11290.99162,11600.33333
2000/5/17,11866,11192.83519,10916.19565,11160.73683,11867.66667
2000/5/18,12222,11394.78464,10999.18751,11087.37447,11858
2000/5/19,11486,11642.94925,11117.86665,11060.91838,12185.66667
2000/5/20,12849,11595.86447,11275.39143,11078.00286,12507
2000/5/21,13186,11971.80513,11371.53334,11137.21943,13198.33333
2000/5/22,13560,12336.06359,11551.61488,11207.51361,13520.66667
2000/5/23,13816,12703.24451,11786.94949,11310.74399,13843
2000/5/24,14153,13037.07116,12061.838,11453.60564,14120
2000/5/25,14391,13371.84981,12354.40795,11636.07535,14393.66667
2000/5/26,14637,13677.59487,12659.64051,11851.57513,14665.33333
2000/5/27,14968,13965.41641,12965.02681,12093.99474,14901.66667
2000/5/28,15100,14266.19149,13265.14369,12355.30436,14837.33333
2000/5/29,14444,14516.33404,13565.45803,12628.25616,14805
2000/5/30,14871,14494.63383,13850.72083,12909.41672,14680
2000/5/31,14725,14607.54368,14043.89473,13191.80796,14653
2000/6/1,14363,14642.78058,14212.98942,13447.43399,14293
2000/6/2,13791,14558.8464,14341.92676,13677.10062,14841
2000/6/3,16369,14328.49248,14407.00266,13876.54846,15807
2000/6/4,17261,14940.64474,14383.4496,14035.68472,16639.33333
2000/6/5,16288,15636.75132,14550.60814,14140.01418,16356.33333
2000/6/6,15520,15832.12592,14876.4511,14263.19237,15066.33333
2000/6/7,13391,15738.48814,15163.15354,14447.16999,13235.33333
2000/6/8,10795,15034.2417,15335.75392,14661.96506,11939
2000/6/9,11631,13762.46919,15245.30026,14864.10172,11410.66667
2000/6/10,11806,13123.02843,14800.45094,14978.46128,11734
2000/6/11,11765,12727.9199,14297.22419,14925.05818,11917.33333
2000/6/12,12181,12439.04393,13826.4329,14736.70798,12364
2000/6/13,13146,12361.63075,13410.21621,14463.62546,13003.33333
2000/6/14,13683,12596.94153,13095.64057,14147.60268,13724.33333
2000/6/15,14344,12922.75907,12946.03086,13832.01405,14308.66667
2000/6/16,14899,13349.13135,12939.04932,13566.21909,14887
2000/6/17,15418,13814.09194,13062.07393,13378.06816,14612
2000/6/18,13519,14295.26436,13287.67933,13283.26989,14752
2000/6/19,15319,14062.38505,13589.95484,13284.59272,14679.66667
2000/6/20,15201,14439.36954,13731.68391,13376.20136,15150
2000/6/21,14930,14667.85868,13943.98959,13482.84612,14835.66667
2000/6/22,14376,14746.50107,14161.15032,13621.18916,14336.66667
2000/6/23,13704,14635.35075,14336.75555,13783.17751,13578.66667
