Time,Pressure,single,double,triple,move
2000/1/1,129,,,,
2000/1/2,166,129,,,150.3333333
2000/1/3,156,140.1,129,,165.6666667
2000/1/4,175,144.87,132.33,129,199.3333333
2000/1/5,267,153.909,136.092,129.999,230.6666667
2000/1/6,250,187.8363,141.4371,131.8269,264
2000/1/7,275,206.48541,155.35686,134.70996,295.6666667
2000/1/8,362,227.039787,170.695425,140.90403,337
2000/1/9,374,267.5278509,187.5987336,149.8414485,361.3333333
2000/1/10,348,299.4694956,211.5774688,161.168634,361
2000/1/11,361,314.0286469,237.9450768,176.2912845,357
2000/1/12,362,328.1200529,260.7701479,194.7874222,374
2000/1/13,399,338.284037,280.9751194,214.5822399,367.6666667
2000/1/14,342,356.4988259,298.1677947,234.5001037,372.3333333
2000/1/15,376,352.1491781,315.667104,253.600411,356.6666667
2000/1/16,352,359.3044247,326.6117263,272.2204189,366
2000/1/17,370,357.1130973,336.4195358,288.5378111,378.6666667
2000/1/18,414,360.9791681,342.6276042,302.9023285,399.6666667
2000/1/19,415,376.8854177,348.1330734,314.8199112,442.6666667
2000/1/20,499,388.3197924,356.7587767,324.8138599,478
2000/1/21,520,421.5238547,366.2270814,334.3973349,531
2000/1/22,574,451.0666983,382.8161134,343.9462589,471
2000/1/23,319,487.9466888,403.2912888,355.6072152,493.3333333
2000/1/24,587,437.2626821,428.6879088,369.9124373,529.6666667
2000/1/25,683,482.1838775,431.2603408,387.5450788,668
2000/1/26,734,542.4287143,446.5374018,400.6596574,734
2000/1/27,785,599.9001,475.3047956,414.4229807,809.3333333
2000/1/28,909,655.43007,512.6833869,432.6875252,884.3333333
2000/1/29,959,731.501049,555.5073918,456.6862837,1003.333333
2000/1/30,1142,799.7507343,608.305489,486.3326161,1100.666667
2000/1/31,1201,902.425514,665.7390626,522.924478,1210.333333
2000/2/1,1288,991.9978598,736.744998,565.7688533,1081.666667
2000/2/2,756,1080.798502,813.3208565,617.0616967,1158.666667
2000/2/3,1432,983.3589513,893.5641501,675.9394447,1232.333333
2000/2/4,1509,1117.951266,920.5025905,741.2268563,1548
2000/2/5,1703,1235.265886,979.7371931,795.0095766,1640.666667
2000/2/6,1710,1375.58612,1056.395801,850.4278615,1757.333333
2000/2/7,1859,1475.910284,1152.152897,912.2182434,1877.333333
2000/2/8,2063,1590.837199,1249.280113,984.1986394,2032.333333
2000/2/9,2175,1732.486039,1351.747239,1063.723081,2182
2000/2/10,2308,1865.240227,1465.968879,1150.130329,2317
2000/2/11,2468,1998.068159,1585.750284,1244.881894,2224
2000/2/12,1896,2139.047711,1709.445646,1347.142411,2395
2000/2/13,2821,2066.133398,1838.326266,1455.833381,2604.333333
2000/2/14,3096,2292.593379,1906.668405,1570.581247,3077.333333
2000/2/15,3315,2533.615365,2022.445897,1671.407394,3347
2000/2/16,3630,2768.030756,2175.796738,1776.718945,3629.333333
2000/2/17,3943,3026.621529,2353.466943,1896.442283,3927
2000/2/18,4208,3301.53507,2555.413319,2033.549681,4203
2000/2/19,4458,3573.474549,2779.249844,2190.108772,4456
2000/2/20,4702,3838.832184,3017.517256,2366.851094,4701.666667
2000/2/21,4945,4097.782529,3263.911734,2562.050942,4834
2000/2/22,4855,4351.94777,3514.072973,2772.60918,5093.666667
2000/2/23,5481,4502.863439,3765.435412,2995.048318,5391
2000/2/24,5837,4796.304407,3986.66382,3226.164446,5876
2000/2/25,6310,5108.513085,4229.555996,3454.314258,6256.666667
2000/2/26,6623,5468.95916,4493.243123,3686.88678,6619.333333
2000/2/27,6925,5815.171412,4785.957934,3928.793683,6952
2000/2/28,7308,6148.119988,5094.721977,4185.942958,7320.666667
2000/2/29,7729,6496.083992,5410.741381,4458.576664,7695.666667
2000/3/1,8050,6865.958794,5736.344164,4744.226079,8062
2000/3/2,8407,7221.171156,6075.228553,5041.861504,8316.666667
2000/3/3,8493,7576.919809,6419.011334,5351.871619,8682
2000/3/4,9146,7851.743866,6766.383876,5672.013533,9042.666667
2000/3/5,9489,8240.020706,7091.991873,6000.324636,9477.666667
2000/3/6,9798,8614.714495,7436.400523,6327.824808,9773.333333
2000/3/7,10033,8969.700146,7789.894715,6660.397522,10046
2000/3/8,10307,9288.690102,8143.836344,6999.24668,10288.66667
2000/3/9,10526,9594.183072,8487.292472,7342.623579,10519
2000/3/10,10724,9873.72815,8819.359652,7686.024247,10694.66667
2000/3/11,10834,10128.80971,9135.670201,8026.024868,10806
2000/3/12,10860,10340.36679,9433.612052,8358.918468,10659.66667
2000/3/13,10285,10496.25676,9705.638475,8681.326543,10695
2000/3/14,10940,10432.87973,9942.823959,8988.620123,10764
2000/3/15,11067,10585.01581,10089.84069,9274.881274,11771.33333
2000/3/16,13307,10729.61107,10238.39323,9519.369099,13371
2000/3/17,15739,11502.82775,10385.75858,9735.076337,15241.33333
2000/3/18,16678,12773.67942,10720.87933,9930.281009,16653
2000/3/19,17542,13944.9756,11336.71936,10167.46051,17384.66667
2000/3/20,17934,15024.08292,12119.19623,10518.23816,17940
2000/3/21,18344,15897.05804,12990.66224,10998.52558,18305.33333
2000/3/22,18638,16631.14063,13862.58098,11596.16658,17812.66667
2000/3/23,16456,17233.19844,14693.14887,12276.0909,18028.66667
2000/3/24,18992,17000.03891,15455.16374,13001.20829,18084
2000/3/25,18804,17597.62724,15918.62629,13737.39493,18774.66667
2000/3/26,18528,17959.53907,16422.32658,14391.76434,18464.66667
2000/3/27,18062,18130.07735,16883.49032,15000.93301,18142
2000/3/28,17836,18109.65414,17257.46643,15565.7002,17940
2000/3/29,17922,18027.5579,17513.12274,16073.23007,18100.33333
2000/3/30,18543,17995.89053,17667.45329,16505.19787,18504.66667
2000/3/31,19049,18160.02337,17765.98446,16853.8745,19068.33333
2000/4/1,19613,18426.71636,17884.19613,17127.50749,19093.66667
2000/4/2,18619,18782.60145,18046.9522,17354.51408,19438
2000/4/3,20082,18733.52102,18267.64698,17562.24552,19609.66667
2000/4/4,20128,19138.06471,18407.40919,17773.86596,20126.66667
2000/4/5,20170,19435.0453,18626.60585,17963.92893,20129.66667
2000/4/6,20091,19655.53171,18869.13768,18162.732,20006.33333
2000/4/7,19758,19786.1722,19105.05589,18374.65371,19818
2000/4/8,19605,19777.72054,19309.39078,18593.77436,19622
2000/4/9,19503,19725.90438,19449.88971,18808.45929,19600
2000/4/10,19692,19659.03306,19532.69411,19000.88841,19718
2000/4/11,19959,19668.92314,19570.59579,19160.43012,19674.66667
2000/4/12,19373,19755.9462,19600.094,19283.47982,20034.33333
2000/4/13,20771,19641.06234,19646.84966,19378.46408,20400.66667
2000/4/14,21058,19980.04364,19645.11346,19458.97975,21092.66667
2000/4/15,21449,20303.43055,19745.59252,19514.81987,21346
2000/4/16,21531,20647.10138,19912.94393,19584.05166,21551.33333
2000/4/17,21674,20912.27097,20133.19116,19682.71934,21709
2000/4/18,21922,21140.78968,20366.9151,19817.86089,21865.33333
2000/4/19,22000,21375.15277,20599.07748,19982.57715,21982.66667
2000/4/20,22026,21562.60694,20831.90007,20167.52725,22080.33333
2000/4/21,22215,21701.62486,21051.11213,20366.83909,21892.33333
2000/4/22,21436,21855.6374,21246.26595,20572.121,22062
2000/4/23,22535,21729.74618,21429.07738,20774.36449,22153
2000/4/24,22488,21971.32233,21519.27802,20970.77836,22478
2000/4/25,22411,22126.32563,21654.89131,21135.32826,22454.33333
2000/4/26,22464,22211.72794,21796.32161,21291.19717,22458.66667
2000/4/27,22501,22287.40956,21920.94351,21442.7345,22524.66667
2000/4/28,22609,22351.48669,22030.88332,21586.19721,22624.33333
2000/4/29,22763,22428.74068,22127.06433,21719.60304,22709.33333
2000/4/30,22756,22529.01848,22217.56724,21841.84143,22719.33333
2000/5/1,22639,22597.11293,22311.00261,21954.55917,22278.33333
2000/5/2,21440,22609.67905,22396.83571,22061.4922,22065
2000/5/3,22116,22258.77534,22460.68871,22162.09525,21856
2000/5/4,22012,22215.94274,22400.1147,22251.67329,21890.33333
2000/5/5,21543,22154.75992,22344.86311,22296.20571,21651
2000/5/6,21398,21971.23194,22287.83215,22310.80293,21322.33333
2000/5/7,21026,21799.26236,22192.85209,22303.9117,20951
2000/5/8,20429,21567.28365,22074.77517,22270.59382,20476
2000/5/9,19973,21225.79856,21922.52771,22211.84822,20092.33333
2000/5/10,19875,20849.95899,21713.50897,22125.05207,19727.66667
2000/5/11,19335,20557.47129,21454.44397,22001.58914,19274.33333
2000/5/12,18613,20190.7299,21185.35217,21837.44559,19967.66667
2000/5/13,21955,19717.41093,20886.96549,21641.81756,20742.66667
2000/5/14,21660,20388.68765,20536.09912,21415.36194,21654
2000/5/15,21347,20770.08136,20491.87568,21151.5831,21284
2000/5/16,20845,20943.15695,20575.33738,20953.67087,21090
2000/5/17,21078,20913.70987,20685.68325,20840.17083,20986.66667
2000/5/18,21037,20962.99691,20754.09124,20793.82455,21090.66667
2000/5/19,21157,20985.19783,20816.76294,20781.90456,21063.33333
2000/5/20,20996,21036.73848,20867.29341,20792.36207,20990
2000/5/21,20817,21024.51694,20918.12693,20814.84147,19942.33333
2000/5/22,18014,20962.26186,20950.04393,20845.82711,19552.33333
2000/5/23,19826,20077.7833,20953.70931,20877.09216,18900.33333
2000/5/24,18861,20002.24831,20690.93151,20900.0773,18864.33333
2000/5/25,17906,19659.87382,20484.32655,20837.33356,18057
2000/5/26,17404,19133.71167,20236.99073,20731.43146,17191.66667
2000/5/27,16265,18614.79817,19906.00701,20583.09924,16199.66667
2000/5/28,14930,17909.85872,19518.64436,20379.97157,14942
2000/5/29,13631,17015.9011,19036.00867,20121.57341,13777
2000/5/30,12770,16000.43077,18429.9764,19795.90399,13150.33333
2000/5/31,13050,15031.30154,17701.11271,19386.12571,12526
2000/6/1,11758,14436.91108,16900.16936,18880.62181,12766.33333
2000/6/2,13491,13633.23775,16161.19188,18286.48607,13075
2000/6/3,13976,13590.56643,15402.80564,17648.89781,13928.66667
2000/6/4,14319,13706.1965,14859.13388,16975.07016,14297.33333
2000/6/5,14597,13890.03755,14513.25266,16340.28928,14704.66667
2000/6/6,15198,14102.12628,14326.28813,15792.17829,15142.33333
2000/6/7,15632,14430.8884,14259.03958,15352.41124,15647.66667
2000/6/8,16113,14791.22188,14310.59422,15024.39974,16027
2000/6/9,16336,15187.75532,14454.78252,14810.25809,16355
2000/6/10,16616,15532.22872,14674.67436,14703.61542,16316.33333
2000/6/11,15997,15857.3601,14931.94067,14694.9331,16357.66667
2000/6/12,16460,15899.25207,15209.5665,14766.03537,16324
2000/6/13,16515,16067.47645,15416.47217,14899.09471,16382.33333
2000/6/14,16172,16201.73352,15611.77346,15054.30795,16204
2000/6/15,15925,16192.81346,15788.76147,15221.5476,15931
2000/6/16,15696,16112.46942,15909.97707,15391.71176,15650.66667
2000/6/17,15331,15987.5286,15970.72478,15547.19135,15373.33333
2000/6/18,15093,15790.57002,15975.76592,15674.25138,15112.66667
